DATE,HOUSTNSA
1980-01-01,73.1
1980-02-01,79.9
1980-03-01,85.1
1980-04-01,96.2
1980-05-01,91.7
1980-06-01,116.4
1980-07-01,120.1
1980-08-01,129.9
1980-09-01,138.3
1980-10-01,152.7
1980-11-01,112.9
1980-12-01,95.9
1981-01-01,84.5
1981-02-01,71.9
1981-03-01,107.8
1981-04-01,123.0
1981-05-01,109.9
1981-06-01,105.8
1981-07-01,99.9
1981-08-01,86.3
1981-09-01,84.1
1981-10-01,87.2
1981-11-01,64.6
1981-12-01,59.1
1982-01-01,47.2
1982-02-01,51.3
1982-03-01,78.2
1982-04-01,84.1
1982-05-01,98.8
1982-06-01,91.1
1982-07-01,106.8
1982-08-01,96.0
1982-09-01,106.4
1982-10-01,110.5
1982-11-01,108.9
1982-12-01,82.9
1983-01-01,91.3
1983-02-01,96.3
1983-03-01,134.6
1983-04-01,135.8
1983-05-01,174.9
1983-06-01,173.2
1983-07-01,161.6
1983-08-01,176.8
1983-09-01,154.9
1983-10-01,159.3
1983-11-01,136.0
1983-12-01,108.3
1984-01-01,109.1
1984-02-01,130.0
1984-03-01,137.5
1984-04-01,172.7
1984-05-01,180.7
1984-06-01,184.0
1984-07-01,162.1
1984-08-01,147.4
1984-09-01,148.5
1984-10-01,152.3
1984-11-01,126.2
1984-12-01,98.9
1985-01-01,105.4
1985-02-01,95.4
1985-03-01,145.0
1985-04-01,175.8
1985-05-01,170.2
1985-06-01,163.2
1985-07-01,160.7
1985-08-01,160.7
1985-09-01,147.7
1985-10-01,173.0
1985-11-01,124.1
1985-12-01,120.5
1986-01-01,115.6
1986-02-01,107.2
1986-03-01,151.0
1986-04-01,188.2
1986-05-01,186.6
1986-06-01,183.6
1986-07-01,172.0
1986-08-01,163.8
1986-09-01,154.0
1986-10-01,154.8
1986-11-01,115.6
1986-12-01,113.0
1987-01-01,105.1
1987-02-01,102.8
1987-03-01,141.2
1987-04-01,159.3
1987-05-01,158.0
1987-06-01,162.9
1987-07-01,152.4
1987-08-01,143.6
1987-09-01,152.0
1987-10-01,139.1
1987-11-01,118.8
1987-12-01,85.4
1988-01-01,78.2
1988-02-01,90.2
1988-03-01,128.8
1988-04-01,153.2
1988-05-01,140.2
1988-06-01,150.2
1988-07-01,137.0
1988-08-01,136.8
1988-09-01,131.1
1988-10-01,135.1
1988-11-01,113.0
1988-12-01,94.2
1989-01-01,100.1
1989-02-01,85.8
1989-03-01,117.8
1989-04-01,129.4
1989-05-01,131.7
1989-06-01,143.2
1989-07-01,134.7
1989-08-01,122.4
1989-09-01,109.3
1989-10-01,130.1
1989-11-01,96.6
1989-12-01,75.0
1990-01-01,99.2
1990-02-01,86.9
1990-03-01,108.5
1990-04-01,119.0
1990-05-01,121.1
1990-06-01,117.8
1990-07-01,111.2
1990-08-01,102.8
1990-09-01,93.1
1990-10-01,94.2
1990-11-01,81.4
1990-12-01,57.4
1991-01-01,52.5
1991-02-01,59.1
1991-03-01,73.8
1991-04-01,99.7
1991-05-01,97.7
1991-06-01,103.4
1991-07-01,103.5
1991-08-01,94.7
1991-09-01,86.6
1991-10-01,101.8
1991-11-01,75.6
1991-12-01,65.6
1992-01-01,71.6
1992-02-01,78.8
1992-03-01,111.6
1992-04-01,107.6
1992-05-01,115.2
1992-06-01,117.8
1992-07-01,106.2
1992-08-01,109.9
1992-09-01,106.0
1992-10-01,111.8
1992-11-01,84.5
1992-12-01,78.6
1993-01-01,70.5
1993-02-01,74.6
1993-03-01,95.5
1993-04-01,117.8
1993-05-01,120.9
1993-06-01,128.5
1993-07-01,115.3
1993-08-01,121.8
1993-09-01,118.5
1993-10-01,123.3
1993-11-01,102.3
1993-12-01,98.7
1994-01-01,76.2
1994-02-01,83.5
1994-03-01,134.3
1994-04-01,137.6
1994-05-01,148.8
1994-06-01,136.4
1994-07-01,127.8
1994-08-01,139.8
1994-09-01,130.1
1994-10-01,130.6
1994-11-01,113.4
1994-12-01,98.5
1995-01-01,84.5
1995-02-01,81.6
1995-03-01,103.8
1995-04-01,116.9
1995-05-01,130.5
1995-06-01,123.4
1995-07-01,129.1
1995-08-01,135.8
1995-09-01,122.4
1995-10-01,126.2
1995-11-01,107.2
1995-12-01,92.8
1996-01-01,90.7
1996-02-01,95.9
1996-03-01,116.0
1996-04-01,146.6
1996-05-01,143.9
1996-06-01,138.0
1996-07-01,137.5
1996-08-01,144.2
1996-09-01,128.7
1996-10-01,130.8
1996-11-01,111.5
1996-12-01,93.1
1997-01-01,82.2
1997-02-01,94.7
1997-03-01,120.4
1997-04-01,142.3
1997-05-01,136.3
1997-06-01,140.4
1997-07-01,134.6
1997-08-01,126.5
1997-09-01,139.2
1997-10-01,139.0
1997-11-01,112.4
1997-12-01,106.0
1998-01-01,91.2
1998-02-01,101.1
1998-03-01,132.6
1998-04-01,144.9
1998-05-01,143.3
1998-06-01,159.6
1998-07-01,156.0
1998-08-01,147.5
1998-09-01,141.5
1998-10-01,155.5
1998-11-01,124.2
1998-12-01,119.6
1999-01-01,106.8
1999-02-01,110.2
1999-03-01,147.3
1999-04-01,144.6
1999-05-01,153.2
1999-06-01,149.4
1999-07-01,152.6
1999-08-01,152.9
1999-09-01,140.3
1999-10-01,142.9
1999-11-01,127.4
1999-12-01,113.6
2000-01-01,104.0
2000-02-01,119.7
2000-03-01,133.4
2000-04-01,149.5
2000-05-01,152.9
2000-06-01,146.3
2000-07-01,135.0
2000-08-01,141.4
2000-09-01,128.9
2000-10-01,139.7
2000-11-01,117.1
2000-12-01,100.7
2001-01-01,106.4
2001-02-01,108.2
2001-03-01,133.2
2001-04-01,151.3
2001-05-01,154.0
2001-06-01,155.2
2001-07-01,154.6
2001-08-01,141.5
2001-09-01,133.1
2001-10-01,139.8
2001-11-01,121.0
2001-12-01,104.6
2002-01-01,110.4
2002-02-01,120.4
2002-03-01,138.2
2002-04-01,148.8
2002-05-01,165.5
2002-06-01,160.3
2002-07-01,155.9
2002-08-01,147.0
2002-09-01,155.6
2002-10-01,146.8
2002-11-01,133.0
2002-12-01,123.1
2003-01-01,117.8
2003-02-01,109.7
2003-03-01,147.2
2003-04-01,151.2
2003-05-01,165.0
2003-06-01,174.5
2003-07-01,175.8
2003-08-01,163.8
2003-09-01,171.3
2003-10-01,173.5
2003-11-01,153.7
2003-12-01,144.2
2004-01-01,124.5
2004-02-01,126.4
2004-03-01,173.8
2004-04-01,179.5
2004-05-01,187.6
2004-06-01,172.3
2004-07-01,182.0
2004-08-01,185.9
2004-09-01,164.0
2004-10-01,181.3
2004-11-01,138.1
2004-12-01,140.2
2005-01-01,142.9
2005-02-01,149.1
2005-03-01,156.2
2005-04-01,184.6
2005-05-01,197.9
2005-06-01,192.8
2005-07-01,187.6
2005-08-01,192.0
2005-09-01,187.9
2005-10-01,180.4
2005-11-01,160.7
2005-12-01,136.0
2006-01-01,153.0
2006-02-01,145.1
2006-03-01,165.9
2006-04-01,160.5
2006-05-01,190.2
2006-06-01,170.2
2006-07-01,160.9
2006-08-01,146.8
2006-09-01,150.1
2006-10-01,130.6
2006-11-01,115.2
2006-12-01,112.4
2007-01-01,95.0
2007-02-01,103.1
2007-03-01,123.8
2007-04-01,135.6
2007-05-01,136.5
2007-06-01,137.8
2007-07-01,127.9
2007-08-01,121.2
2007-09-01,101.5
2007-10-01,115.0
2007-11-01,88.8
2007-12-01,68.9
2008-01-01,70.8
2008-02-01,78.4
2008-03-01,82.2
2008-04-01,89.5
2008-05-01,91.7
2008-06-01,102.5
2008-07-01,86.7
2008-08-01,76.4
2008-09-01,73.9
2008-10-01,68.2
2008-11-01,47.5
2008-12-01,37.7
2009-01-01,31.9
2009-02-01,39.8
2009-03-01,42.7
2009-04-01,42.5
2009-05-01,52.2
2009-06-01,59.1
2009-07-01,56.8
2009-08-01,52.9
2009-09-01,52.6
2009-10-01,44.5
2009-11-01,42.3
2009-12-01,36.6
2010-01-01,38.9
2010-02-01,40.7
2010-03-01,54.7
2010-04-01,62.0
2010-05-01,56.2
2010-06-01,53.8
2010-07-01,51.5
2010-08-01,56.3
2010-09-01,53.0
2010-10-01,45.4
2010-11-01,40.6
2010-12-01,33.8
2011-01-01,40.2
2011-02-01,35.4
2011-03-01,49.9
2011-04-01,49.0
2011-05-01,54.0
2011-06-01,60.5
2011-07-01,57.6
2011-08-01,54.5
2011-09-01,58.8
2011-10-01,53.2
2011-11-01,53.0
2011-12-01,42.7
2012-01-01,47.2
2012-02-01,49.7
2012-03-01,58.0
2012-04-01,66.8
2012-05-01,67.8
2012-06-01,74.7
2012-07-01,69.2
2012-08-01,69.0
2012-09-01,75.8
2012-10-01,77.0
2012-11-01,62.2
2012-12-01,63.2
2013-01-01,58.7
2013-02-01,66.1
2013-03-01,83.3
2013-04-01,76.3
2013-05-01,87.2
2013-06-01,80.7
2013-07-01,84.0
2013-08-01,80.4
2013-09-01,78.4
2013-10-01,78.4
2013-11-01,83.8
2013-12-01,67.6
2014-01-01,60.7
2014-02-01,65.1
2014-03-01,80.2
2014-04-01,94.9
2014-05-01,92.5
2014-06-01,87.3
2014-07-01,101.0
2014-08-01,86.2
2014-09-01,94.2
2014-10-01,92.0
2014-11-01,75.8
2014-12-01,73.4
2015-01-01,73.0
2015-02-01,61.9
2015-03-01,79.7
2015-04-01,108.5
2015-05-01,99.6
2015-06-01,112.3
2015-07-01,107.2
2015-08-01,99.2
2015-09-01,111.6
2015-10-01,90.9
2015-11-01,89.9
2015-12-01,78.1
2016-01-01,74.3
2016-02-01,84.1
2016-03-01,90.7
2016-04-01,106.2
2016-05-01,105.0
2016-06-01,111.6
2016-07-01,115.2
2016-08-01,102.8
2016-09-01,95.0
2016-10-01,114.5
2016-11-01,87.8
2016-12-01,86.5
2017-01-01,82.3
2017-02-01,87.8
2017-03-01,97.1
2017-04-01,105.2
2017-05-01,106.0
2017-06-01,116.3
2017-07-01,112.3
2017-08-01,102.6
2017-09-01,104.4
2017-10-01,109.6
2017-11-01,97.9
2017-12-01,81.4
2018-01-01,91.6
2018-02-01,89.7
2018-03-01,107.2
2018-04-01,117.5
2018-05-01,123.7
2018-06-01,112.0
2018-07-01,111.9
2018-08-01,113.8
2018-09-01,109.7
2018-10-01,105.7
2018-11-01,91.2
2018-12-01,76.0
2019-01-01,87.0
2019-02-01,80.0
2019-03-01,98.2
2019-04-01,116.6
2019-05-01,118.1
2019-06-01,115.1
2019-07-01,114.2
2019-08-01,121.0
2019-09-01,113.2
2019-10-01,114.8
2019-11-01,103.4
2019-12-01,108.3
2020-01-01,113.1
2020-02-01,111.6
2020-03-01,104.5
2020-04-01,84.9
2020-05-01,95.1
2020-06-01,118.8
2020-07-01,138.7
2020-08-01,122.5
2020-09-01,126.3
2020-10-01,131.2
2020-11-01,117.8
2020-12-01,115.1
2021-01-01,115.2
2021-02-01,102.1
2021-03-01,140.6
2021-04-01,135.5
2021-05-01,145.7
2021-06-01,154.3
2021-07-01,143.9
2021-08-01,140.0
2021-09-01,135.2
2021-10-01,133.6
2021-11-01,130.8
2021-12-01,124.2
2022-01-01,121.0
2022-02-01,126.1
2022-03-01,142.6
2022-04-01,164.3
2022-05-01,140.6
2022-06-01,144.9
2022-07-01,123.7
2022-08-01,134.5
2022-09-01,127.5
2022-10-01,121.6
2022-11-01,111.1
2022-12-01,94.7
2023-01-01,97.7
2023-02-01,103.2
2023-03-01,114.0
2023-04-01,121.7
2023-05-01,146.0
2023-06-01,132.6
2023-07-01,131.4
2023-08-01,115.8
2023-09-01,117.0
2023-10-01,115.1
2023-11-01,116.5
2023-12-01,108.9
2024-01-01,97.9
2024-02-01,113.7
2024-03-01,109.8
2024-04-01,125.7
2024-05-01,120.9
2024-06-01,123.6
2024-07-01,115.3
2024-08-01,120.0
2024-09-01,116.3
